번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
1,060310,3S,032902,특수 목적용 기계 제조업,"44,802,511","22,401,255,500","500",원(KRW),02-896-9474,서울특별시 금천구  시흥대로71길 30-1 ,2359
2,095570,AJ네트웍스,147603,산업용 기계 및 장비 임대업,"46,822,295","46,822,295,000","1,000",원(KRW),02-6363-9999,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",2359
3,006840,AK홀딩스,116409,기타 금융업,"13,247,561","66,237,805,000","5,000",원(KRW),02-768-2923,서울특별시 마포구 양화로 188 - ,2359
4,054620,APS홀딩스,116409,기타 금융업,"20,394,221","10,197,110,500","500",원(KRW),031-776-1800,경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면),2359
5,265520,AP시스템,032902,특수 목적용 기계 제조업,"14,480,227","7,240,113,500","500",원(KRW),031-379-2700,경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp,2359
6,211270,AP위성,032604,통신 및 방송 장비 제조업,"15,014,804","7,507,402,000","500",원(KRW),02-2026-7800,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp,2359
7,027410,BGF,116409,기타 금융업,"95,716,791","95,716,791,000","1,000",,1577-3663,서울특별시 강남구 테헤란로 405 ,2359
8,282330,BGF리테일,074701,종합 소매업,"17,283,906","17,283,906,000","1,000",원(KRW),02-1577-8007,서울특별시 강남구 테헤란로 405 BGF사옥,2359
9,138930,BNK금융지주,116409,기타 금융업,"325,935,246","1,629,676,230,000","5,000",원(KRW),051-620-3023,부산광역시 남구 문현금융로 30(문현동) ,2359
10,001460,BYC,031401,봉제의복 제조업,"624,615","4,200,000,000","5,000",원(KRW),02-840-3175,서울특별시 영등포구 도림천로21길 3 ,2359
11,001040,CJ,116409,기타 금융업,"29,176,998","179,047,370,000","5,000",원(KRW),02-726-8114,"서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER) ",2359
12,079160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,161,313","10,580,656,500","500",원(KRW),02-371-6660,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) ,2359
13,035760,CJ ENM,106002,텔레비전 방송업,"21,929,154","110,577,370,000","5,000",원(KRW),02-2107-0114,서울특별시 서초구  과천대로 870-13 ,2359
14,000120,CJ대한통운,084903,도로 화물 운송업,"22,812,344","114,061,720,000","5,000",원(KRW),02-3782-0114,서울특별시 중구  세종대로9길 53 ,2359
15,011150,CJ씨푸드,031007,기타 식품 제조업,"35,930,773","18,065,386,500","500",원(KRW),031-730-9114,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),2359
16,097950,CJ제일제당,031007,기타 식품 제조업,"15,054,186","81,908,095,000","5,000",원(KRW),726-8114,서울특별시 중구  동호로 330 ,2359
17,051500,CJ프레시웨이,074603,음·식료품 및 담배 도매업,"11,871,586","11,871,586,000","1,000",원(KRW),02-2149-6007,경기도 용인시 기흥구  기곡로 32  ,2359
18,058820,CMG제약,032102,의약품 제조업,"138,892,244","69,446,122,000","500",원(KRW),02-3453-8816,서울특별시 강남구 도산대로66길 14 (청담동),2359
19,023460,CNH,116402,신탁업 및 집합투자업,"37,200,000","93,000,000,000","2,500",원(KRW),02-3287-0700,"경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)",2359
20,065770,CS,032604,통신 및 방송 장비 제조업,"18,835,150","9,417,575,000","500",원(KRW),031-622-3200,경기도 성남시 분당구 판교로228번길 15 윈스동 10층 (삼평동 판교세븐벤처밸리1),2359
21,083660,CSA 코스믹,032202,플라스틱제품 제조업,"19,747,641","9,873,820,500","500",원(KRW),02-483-0077,서울특별시 강남구 학동로30길 20 -,2359
22,000590,CS홀딩스,116409,기타 금융업,"1,154,482","5,772,410,000","5,000",원(KRW),02-3459-9363,경상북도 포항시 남구 괴동로 43 (장흥동),2359
23,012030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","201,173,933","100,586,966,500","500",원(KRW),02-2136-6000,서울특별시 강남구 삼성로96길 23 7층,2359
24,322780,DB금융스팩7호,116601,금융 지원 서비스업,"4,550,000","455,000,000","100",원(KRW),02-369-3974,서울특별시 영등포구 국제금융로8길 32 DB금융투자 ,2359
25,016610,DB금융투자,116601,금융 지원 서비스업,"42,446,389","212,231,945,000","5,000",원(KRW),02-369-3000,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩,2359
26,005830,DB손해보험,116501,보험업,"70,800,000","35,400,000,000","500",원(KRW),02-1588-0100,서울특별시 강남구  테헤란로 432 ,2359
27,000990,DB하이텍,032601,반도체 제조업,"44,398,588","222,554,520,000","5,000",원(KRW),02-3484-2888,서울특별시 강남구  테헤란로 432 (주)동부하이텍,2359
28,139130,DGB금융지주,116409,기타 금융업,"169,145,833","845,729,165,000","5,000",원(KRW),0537407900,대구광역시 북구 옥산로 111 대구은행 제2본점 9층,2359
29,068790,DMS,032902,특수 목적용 기계 제조업,"23,062,487","11,531,243,500","500",원(KRW),031-8031-1133,경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동),2359
30,004840,DRB동일,116409,기타 금융업,"19,930,000","9,965,000,000","500",원(KRW),051-520-9000,부산광역시 금정구 공단동로55번길 28 ,2359
31,241520,DSC인베스트먼트,116402,신탁업 및 집합투자업,"18,219,383","9,109,691,500","500",원(KRW),02-3453-3190,서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층,2359
32,155660,DSR,032402,1차 비철금속 제조업,"16,000,000","8,000,000,000","500",원(KRW),02-3420-3591,부산광역시 강서구 녹산산업중로192번길 7 ,2359
33,069730,DSR제강,032401,1차 철강 제조업,"14,400,000","7,200,000,000","500",원(KRW),061-752-0121,전라남도 순천시  서면 산단1길 15 ,2359
